Kode,nama,JobType,JobTypeDesc,KategoriPekerjaan,HargaJual,WaktuKerja,SatuanKerja,Catatan,StatusAktif
JS00073B,REPAIR ELECTRICAL SYSTEM,LR,Light Repair,PERBAIKAN,55000,30,Minute,,Aktif
JS00074,REPAIR PEDAL STATER/DOUBLE STATER,LR,Light Repair,PERBAIKAN,25000,20,Minute,,Aktif
JS00075,PRESS DALANGAN+BODY,LR,Light Repair,PERBAIKAN,190000,40,Minute,,Aktif
JS00077,B/P TOMBOL,LR,Light Repair,PERBAIKAN,5000,15,Minute,,Aktif
JS00078,B/P BOSS GEAR,LR,Light Repair,PERBAIKAN,15000,15,Minute,,Aktif
JS00081,KURAS TANGKY,LR,Light Repair,PERBAIKAN,25000,20,Minute,,Aktif
JS00082,SOK DRAT TEMPAT MINYAK REM,LR,Light Repair,PERBAIKAN,65000,20,Minute,,Aktif
JS00083,PEMBERSIHAN INJEKTOR + THORTLLE BODY,LR,Light Repair,PERBAIKAN,45000,20,Minute,,Aktif
JS00084,SERVICE KARBURASI,LR,Light Repair,PERBAIKAN,45000,20,Minute,,Aktif
JS00085,B/P PIRINGAN CAKRAM,LR,Light Repair,PERBAIKAN,20000,20,Minute,,Aktif
JS00086,B/P HANDLE REM,LR,Light Repair,PERBAIKAN,20000,15,Minute,,Aktif
JS00087,REPAIR REM DEPAN BELAKANG,LR,Light Repair,PERBAIKAN,15000,15,Minute,,Aktif
JS00088,B/P KOMSTIR CUB MATIC,LR,Light Repair,PERBAIKAN,45000,20,Minute,,Aktif
JS00089,B/P KOMSTIR SPORT PCX ADV,LR,Light Repair,PERBAIKAN,65000,25,Minute,,Aktif
JS00090,B/P+LAS STANDART SAMPING,LR,Light Repair,PERBAIKAN,45000,15,Minute,,Aktif
JS00091,B/P+TAMBAL BOCOR TANGKI KROPOS,LR,Light Repair,PERBAIKAN,270000,10,Minute,,Aktif
JS00092,B/P MANIFOL,LR,Light Repair,PERBAIKAN,25000,20,Minute,,Aktif
JS00093,B/P NOKEN AS,LR,Light Repair,PERBAIKAN,65000,1,Hour,,Aktif
